Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
629	0.009001	0.070703	0.012153	0.010337	0.009563
630	0.009001	0.070703	0.012198	0.010367	0.009583
631	0.009001	0.070703	0.012108	0.010306	0.009562
632	0.009001	0.070703	0.011757	0.010138	0.009474
633	0.009001	0.070703	0.011964	0.010235	0.009533
634	0.009001	0.070703	0.012430	0.010475	0.009642
635	0.009001	0.070703	0.011575	0.010051	0.009445
636	0.009001	0.070703	0.011857	0.010179	0.009503
637	0.009001	0.070703	0.011839	0.010183	0.009503
638	0.009001	0.070703	0.011814	0.010173	0.009523
639	0.009001	0.070703	0.011844	0.010174	0.009503
640	0.009001	0.070703	0.012058	0.010285	0.009532
641	0.009001	0.070703	0.012165	0.010342	0.009563
642	0.009001	0.070703	0.011933	0.010234	0.009523
643	0.009001	0.070703	0.012001	0.010251	0.009533
644	0.009001	0.070703	0.011983	0.010255	0.009533
645	0.009001	0.070703	0.011737	0.010118	0.009474
646	0.009001	0.070703	0.011727	0.010137	0.009494
647	0.009001	0.070703	0.011675	0.010092	0.009473
648	0.009001	0.070703	0.011613	0.010066	0.009445
649	0.009001	0.070703	0.011360	0.009938	0.009415
650	0.009001	0.070703	0.011662	0.010086	0.009473
651	0.009001	0.070703	0.011620	0.010081	0.009465
652	0.009001	0.070703	0.011543	0.010025	0.009445
653	0.009001	0.070703	0.011719	0.010122	0.009474
654	0.009001	0.070703	0.011649	0.010081	0.009473
655	0.009001	0.070703	0.011794	0.010153	0.009503
656	0.009001	0.070703	0.011355	0.009947	0.009405
657	0.009001	0.070703	0.011455	0.009989	0.009416
658	0.009001	0.070703	0.011662	0.010086	0.009473
659	0.009001	0.070703	0.011398	0.009954	0.009415
660	0.009001	0.070703	0.011035	0.009780	0.009327
661	0.009001	0.070703	0.011306	0.009927	0.009406
662	0.009001	0.070703	0.011071	0.009795	0.009356
663	0.009001	0.070703	0.011555	0.010031	0.009445
664	0.009001	0.070703	0.011286	0.009907	0.009386
665	0.009001	0.070703	0.011543	0.010025	0.009445
666	0.009001	0.070703	0.011035	0.009780	0.009327
667	0.009001	0.070703	0.011475	0.010009	0.009436
668	0.009001	0.070703	0.011015	0.009760	0.009327
669	0.009001	0.070703	0.011261	0.009897	0.009386
670	0.009001	0.070703	0.011254	0.009882	0.009386
671	0.009001	0.070703	0.011046	0.009784	0.009326
672	0.009001	0.070703	0.011266	0.009887	0.009386
673	0.009001	0.070703	0.011042	0.009795	0.009347
674	0.009001	0.070703	0.011179	0.009851	0.009357
675	0.009001	0.070703	0.011311	0.009918	0.009386
676	0.009001	0.070703	0.010977	0.009744	0.009327
677	0.009001	0.070703	0.010940	0.009728	0.009326
678	0.009001	0.070703	0.011203	0.009861	0.009356
679	0.009001	0.070703	0.011136	0.009845	0.009376
680	0.009001	0.070703	0.011097	0.009805	0.009356
681	0.009001	0.070703	0.011348	0.009933	0.009385
682	0.009001	0.070703	0.011203	0.009861	0.009356
683	0.009001	0.070703	0.011360	0.009938	0.009415
684	0.009001	0.070703	0.011071	0.009795	0.009356
685	0.009001	0.070703	0.010740	0.009646	0.009289
686	0.009001	0.070703	0.010914	0.009718	0.009298
687	0.009001	0.070703	0.010770	0.009646	0.009268
688	0.009001	0.070703	0.010890	0.009708	0.009298
689	0.009001	0.070703	0.010820	0.009667	0.009298
690	0.009001	0.070703	0.010952	0.009734	0.009327
691	0.009001	0.070703	0.010733	0.009631	0.009269
692	0.009001	0.070703	0.010733	0.009631	0.009269
693	0.009001	0.070703	0.010878	0.009703	0.009318
694	0.009001	0.070703	0.010733	0.009631	0.009269
695	0.009001	0.070703	0.011109	0.009810	0.009356
696	0.009001	0.070703	0.010757	0.009641	0.009268
697	0.009001	0.070703	0.010827	0.009682	0.009298
698	0.009001	0.070703	0.010990	0.009749	0.009327
699	0.009001	0.070703	0.010733	0.009631	0.009269
700	0.009001	0.070703	0.010853	0.009693	0.009318
701	0.009001	0.070703	0.010997	0.009764	0.009327
702	0.009001	0.070703	0.010820	0.009667	0.009298
703	0.009001	0.070703	0.010601	0.009565	0.009239
704	0.009001	0.070703	0.010746	0.009637	0.009269
705	0.009001	0.070703	0.010720	0.009626	0.009269
706	0.009001	0.070703	0.010506	0.009514	0.009239
707	0.009001	0.070703	0.010613	0.009569	0.009238
708	0.009001	0.070703	0.010947	0.009743	0.009346
709	0.009001	0.070703	0.010782	0.009652	0.009298
710	0.009001	0.070703	0.010601	0.009565	0.009239
711	0.009001	0.070703	0.010324	0.009426	0.009179
712	0.009001	0.070703	0.010582	0.009545	0.009239
713	0.009001	0.070703	0.010625	0.009575	0.009239
714	0.009001	0.070703	0.010757	0.009641	0.009268
715	0.009001	0.070703	0.010576	0.009555	0.009239
716	0.009001	0.070703	0.010300	0.009417	0.009180
717	0.009001	0.070703	0.010494	0.009508	0.009239
718	0.009001	0.070703	0.010501	0.009523	0.009229
719	0.009001	0.070703	0.010481	0.009503	0.009209
