Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
310	0.056002	0.086484	0.430168	0.173929	0.131071
311	0.056002	0.086484	0.427883	0.173253	0.130557
312	0.056002	0.086484	0.434144	0.175248	0.131927
313	0.056002	0.086484	0.421956	0.171143	0.129240
314	0.056002	0.086484	0.429673	0.173824	0.130901
315	0.056002	0.086484	0.424259	0.172007	0.129870
316	0.056002	0.086484	0.414113	0.168617	0.127522
317	0.056002	0.086484	0.413127	0.168407	0.127470
318	0.056002	0.086484	0.413407	0.168465	0.127467
319	0.056002	0.086484	0.404137	0.165453	0.125585
320	0.056002	0.086484	0.409313	0.167029	0.126664
321	0.056002	0.086484	0.395658	0.163604	0.124381
322	0.056002	0.086484	0.401051	0.164414	0.124895
323	0.056002	0.086484	0.403547	0.165138	0.125465
324	0.056002	0.086484	0.386597	0.160634	0.122494
325	0.056002	0.086484	0.379183	0.158203	0.120951
326	0.056002	0.086484	0.388055	0.161040	0.122719
327	0.056002	0.086484	0.376174	0.157186	0.120438
328	0.056002	0.086484	0.369510	0.155010	0.118948
329	0.056002	0.086484	0.378574	0.157981	0.120952
330	0.056002	0.086484	0.365322	0.153644	0.118208
331	0.056002	0.086484	0.374194	0.156481	0.119976
332	0.056002	0.086484	0.351505	0.149187	0.115293
333	0.056002	0.086484	0.356143	0.150556	0.116203
334	0.056002	0.086484	0.354542	0.150117	0.115978
335	0.056002	0.086484	0.343009	0.146337	0.113576
336	0.056002	0.086484	0.358686	0.151382	0.116718
337	0.056002	0.086484	0.352471	0.149488	0.115465
338	0.056002	0.086484	0.346615	0.147394	0.114148
339	0.056002	0.086484	0.338682	0.144945	0.112552
340	0.056002	0.086484	0.341173	0.145663	0.112944
341	0.056002	0.086484	0.330653	0.142286	0.111003
342	0.056002	0.086484	0.330230	0.142197	0.110835
343	0.056002	0.086484	0.330678	0.142200	0.110887
344	0.056002	0.086484	0.329758	0.142000	0.110661
345	0.056002	0.086484	0.334654	0.143519	0.111744
346	0.056002	0.086484	0.323640	0.140036	0.109463
347	0.056002	0.086484	0.321403	0.139182	0.108828
348	0.056002	0.086484	0.318154	0.138204	0.108259
349	0.056002	0.086484	0.317355	0.137848	0.108142
350	0.056002	0.086484	0.311185	0.136869	0.107402
351	0.056002	0.086484	0.318931	0.138372	0.108314
352	0.056002	0.086484	0.316721	0.137711	0.108089
353	0.056002	0.086484	0.301726	0.133723	0.105401
354	0.056002	0.086484	0.306880	0.135386	0.106544
355	0.056002	0.086484	0.302830	0.134051	0.105570
356	0.056002	0.086484	0.299087	0.132968	0.105002
357	0.056002	0.086484	0.297207	0.132192	0.104541
358	0.056002	0.086484	0.293958	0.131214	0.103972
359	0.056002	0.086484	0.288360	0.129269	0.102656
360	0.056002	0.086484	0.285369	0.128440	0.102088
361	0.056002	0.086484	0.295488	0.131636	0.104198
362	0.056002	0.086484	0.279531	0.126534	0.100888
363	0.056002	0.086484	0.278403	0.126013	0.100598
364	0.056002	0.086484	0.286146	0.128608	0.102144
365	0.056002	0.086484	0.279559	0.126448	0.100889
366	0.056002	0.086484	0.271176	0.123716	0.099055
367	0.056002	0.086484	0.264094	0.121450	0.097631
368	0.056002	0.086484	0.276970	0.125520	0.100257
369	0.056002	0.086484	0.266631	0.122271	0.098141
370	0.056002	0.086484	0.268847	0.122937	0.098541
371	0.056002	0.086484	0.265690	0.121883	0.097851
372	0.056002	0.086484	0.260184	0.120142	0.096941
373	0.056002	0.086484	0.260138	0.120040	0.096824
374	0.056002	0.086484	0.258328	0.119560	0.096430
375	0.056002	0.086484	0.256491	0.118886	0.095970
376	0.056002	0.086484	0.258562	0.119516	0.096481
377	0.056002	0.086484	0.252627	0.117680	0.095225
378	0.056002	0.086484	0.252938	0.117657	0.095282
379	0.056002	0.086484	0.243778	0.114757	0.093394
380	0.056002	0.086484	0.239519	0.113375	0.092481
381	0.056002	0.086484	0.241477	0.113892	0.092882
382	0.056002	0.086484	0.254137	0.118194	0.095573
383	0.056002	0.086484	0.240911	0.113771	0.092711
384	0.056002	0.086484	0.246134	0.115449	0.093909
385	0.056002	0.086484	0.234576	0.111755	0.091453
386	0.056002	0.086484	0.243053	0.114416	0.093224
387	0.056002	0.086484	0.231636	0.110753	0.090823
388	0.056002	0.086484	0.232391	0.111008	0.091111
389	0.056002	0.086484	0.238083	0.112882	0.092194
390	0.056002	0.086484	0.231987	0.110827	0.090820
391	0.056002	0.086484	0.233072	0.111246	0.091282
392	0.056002	0.086484	0.220829	0.108126	0.089106
393	0.056002	0.086484	0.231026	0.110531	0.090653
394	0.056002	0.086484	0.217185	0.106973	0.088540
395	0.056002	0.086484	0.217605	0.107062	0.088591
396	0.056002	0.086484	0.220829	0.108126	0.089106
397	0.056002	0.086484	0.216075	0.106639	0.088365
398	0.056002	0.086484	0.216358	0.106703	0.088250
399	0.056002	0.086484	0.212591	0.105426	0.087390
400	0.056002	0.086484	0.211956	0.105289	0.087508
401	0.056002	0.086484	0.213343	0.105680	0.087561
402	0.056002	0.086484	0.205177	0.102995	0.085847
403	0.056002	0.086484	0.205509	0.103160	0.086137
404	0.056002	0.086484	0.204826	0.102922	0.085850
405	0.056002	0.086484	0.199697	0.101168	0.084820
406	0.056002	0.086484	0.207440	0.103764	0.086366
407	0.056002	0.086484	0.202895	0.102319	0.085621
408	0.056002	0.086484	0.199340	0.101089	0.084646
409	0.056002	0.086484	0.200163	0.101359	0.084817
410	0.056002	0.086484	0.197810	0.100667	0.084421
411	0.056002	0.086484	0.194216	0.099341	0.083622
412	0.056002	0.086484	0.195621	0.099920	0.083962
413	0.056002	0.086484	0.192964	0.098976	0.083446
414	0.056002	0.086484	0.193625	0.099306	0.083568
415	0.056002	0.086484	0.189883	0.097943	0.082762
416	0.056002	0.086484	0.180536	0.094910	0.080874
417	0.056002	0.086484	0.185127	0.096457	0.081734
418	0.056002	0.086484	0.187996	0.097442	0.082363
419	0.056002	0.086484	0.188565	0.097568	0.082421
420	0.056002	0.086484	0.184188	0.096069	0.081563
421	0.056002	0.086484	0.181217	0.095148	0.080873
422	0.056002	0.086484	0.181620	0.095329	0.081164
423	0.056002	0.086484	0.176675	0.093709	0.080017
424	0.056002	0.086484	0.181646	0.095243	0.081048
425	0.056002	0.086484	0.183337	0.095885	0.081390
426	0.056002	0.086484	0.178325	0.094249	0.080478
427	0.056002	0.086484	0.173875	0.092733	0.079330
428	0.056002	0.086484	0.177170	0.093814	0.080016
429	0.056002	0.086484	0.172513	0.092257	0.079160
430	0.056002	0.086484	0.176112	0.093588	0.079965
431	0.056002	0.086484	0.167900	0.090801	0.078134
432	0.056002	0.086484	0.171475	0.091939	0.078987
433	0.056002	0.086484	0.167032	0.090429	0.077962
434	0.056002	0.086484	0.168366	0.090992	0.078302
435	0.056002	0.086484	0.165217	0.089944	0.077735
436	0.056002	0.086484	0.170508	0.091637	0.078643
437	0.056002	0.086484	0.156038	0.086856	0.075730
438	0.056002	0.086484	0.165428	0.089991	0.077619
439	0.056002	0.086484	0.163380	0.089270	0.077273
