Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
604	0.034718	0.054072	0.216432	0.036204
605	0.034718	0.054072	0.218251	0.038023
606	0.034718	0.054072	0.215038	0.034814
607	0.034718	0.054072	0.215518	0.035300
608	0.034718	0.054072	0.215040	0.034810
609	0.034718	0.054072	0.215824	0.035595
610	0.034718	0.054072	0.216126	0.035902
611	0.034718	0.054072	0.215040	0.034823
612	0.034718	0.054072	0.216432	0.036207
613	0.034718	0.054072	0.215038	0.034855
614	0.034718	0.054072	0.219771	0.039566
615	0.034718	0.054072	0.215518	0.035300
616	0.034718	0.054072	0.215038	0.034833
617	0.034718	0.054072	0.215824	0.035584
618	0.034718	0.054072	0.215040	0.034835
619	0.034718	0.054072	0.216126	0.035933
620	0.034718	0.054072	0.215040	0.034845
621	0.034718	0.054072	0.216430	0.036231
622	0.034718	0.054072	0.221287	0.041044
623	0.034718	0.054072	0.215038	0.034803
624	0.034718	0.054072	0.215520	0.034799
625	0.034718	0.054072	0.215038	0.035325
626	0.034718	0.054072	0.215822	0.035586
627	0.034718	0.054072	0.215038	0.034805
628	0.034718	0.054072	0.216126	0.035896
629	0.034718	0.054072	0.215040	0.034807
