Testing levelRatio	Bulkload sandbox ex5 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = [50000 - 100000] rsearches = 20 sel = 0.010000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15} } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
4	30.077169	26.200285	22.887424	17.605678	14.718328	13.377327	8.185177	4.990599	7.806695	4.252693	39.378358	32.291593
5	34.551181	21.600352	21.600352	21.600352	20.829966	11.404764	11.404764	11.404764	8.368815	2.111522	42.896073	35.299897
6	37.364318	20.683864	19.099467	19.099467	19.099467	9.637007	6.908050	6.908050	6.908050	4.686875	43.083622	37.521569
7	39.018659	22.314846	17.703134	17.703134	17.703134	15.493093	6.489235	4.665340	4.665340	4.665340	45.063833	39.617837
8	41.755447	27.372107	19.129604	19.129604	19.129604	19.129604	9.797526	5.024118	5.933883	5.933883	51.109346	42.917530
9	37.980412	29.436172	17.147838	14.530150	14.530150	14.530150	14.530150	9.244358	5.623522	2.111522	50.194498	39.792290
10	37.663022	34.308482	18.148035	13.226564	13.226564	13.226564	13.226564	10.458036	6.783905	2.111522	52.534454	39.967386
11	37.328169	37.328169	21.203014	11.868142	10.955273	10.955273	10.955273	10.955273	8.442519	2.111522	53.929515	40.007410
12	38.317457	38.317457	20.451543	10.981612	8.527724	8.527724	8.527724	8.527724	8.527724	2.111522	55.009615	41.423493
13	40.784401	40.784401	27.003589	13.896524	9.647424	9.647424	9.647424	9.647424	9.647424	2.111522	60.687516	44.429351
14	38.462070	38.462070	29.358620	13.681018	7.996104	6.488077	6.488077	6.488077	6.488077	5.575925	60.395000	42.780581
15	39.254387	39.254387	36.597728	17.018025	10.131943	7.086867	7.086867	7.086867	7.086867	4.439275	64.010385	43.831588

RSearchTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	151.965800	154.498400	155.330000	159.488000	162.266300	177.216200	182.848400	204.110900	194.755400	236.562200	150.983000	151.757900
3	146.692700	148.148000	153.629000	152.646200	152.646200	170.015300	169.769600	196.229600	228.945500	231.459200	145.445300	145.785500
4	144.500300	146.787200	147.070700	151.739000	161.812700	162.209600	177.405200	221.669000	221.763500	229.512500	143.290700	143.517500
5	142.137800	148.185800	148.185800	148.185800	149.187500	179.748800	179.748800	179.748800	184.795100	313.674200	141.911000	141.967700
6	141.551900	149.225300	151.342100	151.342100	151.342100	174.475700	203.468300	203.468300	203.468300	234.747800	141.344000	141.419600
7	141.192800	147.070700	154.536200	154.536200	154.536200	157.371200	207.626300	234.029600	234.029600	234.029600	140.606900	140.739200
8	140.682500	143.990000	158.921000	158.921000	158.921000	158.921000	174.419000	243.290600	299.045600	299.045600	139.850900	139.869800
9	140.947100	142.270100	157.144400	164.137400	164.137400	164.137400	164.137400	191.107700	275.439500	313.674200	139.756400	139.775300
10	141.173900	141.627500	153.647900	169.599500	169.599500	169.599500	169.599500	174.192200	201.880700	313.674200	139.643000	139.680800
11	141.306200	141.306200	148.582700	176.290100	175.345100	175.345100	175.345100	175.345100	183.434300	313.674200	139.510700	139.548500
12	141.495200	141.495200	146.484800	164.666600	183.056300	183.056300	183.056300	183.056300	183.056300	313.674200	139.416200	139.435100
13	141.627500	141.627500	144.651500	159.488000	190.465100	190.465100	190.465100	190.465100	190.465100	313.674200	139.283900	139.302800
14	141.948800	141.948800	143.290700	155.802500	190.691900	197.911700	197.911700	197.911700	197.911700	271.659500	139.132700	139.170500
15	141.986600	141.986600	142.572500	152.684000	177.386300	203.619500	203.619500	203.619500	203.619500	228.567500	138.962600	139.019300

TotalTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	186.579628	182.003582	180.166065	178.963176	181.451527	190.297010	192.950427	212.869538	203.287051	240.863458	194.651905	186.630386
3	177.228139	174.528913	172.546555	171.053234	171.053234	181.016016	180.790562	205.386497	238.093681	235.775489	184.118760	177.718549
4	174.577469	172.987485	169.958123	169.344678	176.531028	175.586926	185.590377	226.659599	229.570195	233.765193	182.669058	175.809093
5	176.688981	169.786152	169.786152	169.786152	170.017466	191.153564	191.153564	191.153564	193.163915	315.785722	184.807073	177.267596
6	178.916218	169.909164	170.441567	170.441567	170.441567	184.112707	210.376350	210.376350	210.376350	239.434675	184.427622	178.941169
7	180.211459	169.385545	172.239334	172.239334	172.239334	172.864293	214.115535	238.694940	238.694940	238.694940	185.670733	180.357037
8	182.437947	171.362107	178.050604	178.050604	178.050604	178.050604	184.216526	248.314718	304.979483	304.979483	190.960246	182.787330
9	178.927512	171.706272	174.292238	178.667550	178.667550	178.667550	178.667550	200.352058	281.063022	315.785722	189.950898	179.567590
10	178.836922	175.935982	171.795935	182.826064	182.826064	182.826064	182.826064	184.650236	208.664606	315.785722	192.177454	179.648186
11	178.634369	178.634369	169.785714	188.158242	186.300373	186.300373	186.300373	186.300373	191.876819	315.785722	193.440215	179.555910
12	179.812657	179.812657	166.936343	175.648212	191.584024	191.584024	191.584024	191.584024	191.584024	315.785722	194.425815	180.858593
13	182.411901	182.411901	171.655089	173.384524	200.112524	200.112524	200.112524	200.112524	200.112524	315.785722	199.971416	183.732151
14	180.410870	180.410870	172.649320	169.483518	198.688004	204.399777	204.399777	204.399777	204.399777	277.235425	199.527700	181.951081
15	181.240987	181.240987	179.170228	169.702025	187.518243	210.706368	210.706368	210.706368	210.706368	233.006775	202.972985	182.850888

Testing levelRatio	Bulkload sandbox ex5 : startingEntriesInIndex = 0 entriesToInsert = 10000000 bulkloadPackageNumEntries = [50000 - 100000] rsearches = 250 sel = 0.010000 indexesParams = { bufferSize = 2097152 ssTableSize = 2097152 levelRatio = {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15} } table = DBTable { .name = TPC-C Warehouse .sizeKey = 8 .sizeData = 105 .sizeRecord = 113 .columnsSize = { 8,10,20,20,20,2,9,8,16 } }
BulkloadTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	34.613828	27.505182	24.836065	19.475176	19.185227	13.080810	10.102027	8.758638	8.531650	4.301258	43.668905	34.872486
3	30.535439	26.380913	18.917555	18.407034	18.407034	11.000716	11.020962	9.156897	9.148181	4.316289	38.673460	31.933049
4	30.077169	26.200285	22.887424	17.605678	14.718328	13.377327	8.185177	4.990599	7.806695	4.252693	39.378358	32.291593
5	34.551181	21.600352	21.600352	21.600352	20.829966	11.404764	11.404764	11.404764	8.368815	2.111522	42.896073	35.299897
6	37.364318	20.683864	19.099467	19.099467	19.099467	9.637007	6.908050	6.908050	6.908050	4.686875	43.083622	37.521569
7	39.018659	22.314846	17.703134	17.703134	17.703134	15.493093	6.489235	4.665340	4.665340	4.665340	45.063833	39.617837
8	41.755447	27.372107	19.129604	19.129604	19.129604	19.129604	9.797526	5.024118	5.933883	5.933883	51.109346	42.917530
9	37.980412	29.436172	17.147838	14.530150	14.530150	14.530150	14.530150	9.244358	5.623522	2.111522	50.194498	39.792290
10	37.663022	34.308482	18.148035	13.226564	13.226564	13.226564	13.226564	10.458036	6.783905	2.111522	52.534454	39.967386
11	37.328169	37.328169	21.203014	11.868142	10.955273	10.955273	10.955273	10.955273	8.442519	2.111522	53.929515	40.007410
12	38.317457	38.317457	20.451543	10.981612	8.527724	8.527724	8.527724	8.527724	8.527724	2.111522	55.009615	41.423493
13	40.784401	40.784401	27.003589	13.896524	9.647424	9.647424	9.647424	9.647424	9.647424	2.111522	60.687516	44.429351
14	38.462070	38.462070	29.358620	13.681018	7.996104	6.488077	6.488077	6.488077	6.488077	5.575925	60.395000	42.780581
15	39.254387	39.254387	36.597728	17.018025	10.131943	7.086867	7.086867	7.086867	7.086867	4.439275	64.010385	43.831588

RSearchTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	379.914500	386.246000	388.325000	398.720000	405.665750	443.040500	457.121000	510.277250	486.888500	591.405500	377.457500	379.394750
3	366.731750	370.370000	384.072500	381.615500	381.615500	425.038250	424.424000	490.574000	572.363750	578.648000	363.613250	364.463750
4	361.250750	366.968000	367.676750	379.347500	404.531750	405.524000	443.513000	554.172500	554.408750	573.781250	358.226750	358.793750
5	355.344500	370.464500	370.464500	370.464500	372.968750	449.372000	449.372000	449.372000	461.987750	784.185500	354.777500	354.919250
6	353.879750	373.063250	378.355250	378.355250	378.355250	436.189250	508.670750	508.670750	508.670750	586.869500	353.360000	353.549000
7	352.982000	367.676750	386.340500	386.340500	386.340500	393.428000	519.065750	585.074000	585.074000	585.074000	351.517250	351.848000
8	351.706250	359.975000	397.302500	397.302500	397.302500	397.302500	436.047500	608.226500	747.614000	747.614000	349.627250	349.674500
9	352.367750	355.675250	392.861000	410.343500	410.343500	410.343500	410.343500	477.769250	688.598750	784.185500	349.391000	349.438250
10	352.934750	354.068750	384.119750	423.998750	423.998750	423.998750	423.998750	435.480500	504.701750	784.185500	349.107500	349.202000
11	353.265500	353.265500	371.456750	440.725250	438.362750	438.362750	438.362750	438.362750	458.585750	784.185500	348.776750	348.871250
12	353.738000	353.738000	366.212000	411.666500	457.640750	457.640750	457.640750	457.640750	457.640750	784.185500	348.540500	348.587750
13	354.068750	354.068750	361.628750	398.720000	476.162750	476.162750	476.162750	476.162750	476.162750	784.185500	348.209750	348.257000
14	354.872000	354.872000	358.226750	389.506250	476.729750	494.779250	494.779250	494.779250	494.779250	679.148750	347.831750	347.926250
15	354.966500	354.966500	356.431250	381.710000	443.465750	509.048750	509.048750	509.048750	509.048750	571.418750	347.406500	347.548250

TotalTime

LevelRatio	FALSM capRatio=1	FALSM capRatio=2	FALSM capRatio=3	FALSM capRatio=4	FALSM capRatio=5	FALSM capRatio=10	FALSM capRatio=15	FALSM capRatio=20	FALSM capRatio=25	FALSM capRatio=50	LSMTree insert	LSMTree bulkload
2	414.528328	413.751182	413.161065	418.195176	424.850977	456.121311	467.223027	519.035888	495.420151	595.706758	421.126405	414.267236
3	397.267189	396.750913	402.990055	400.022535	400.022535	436.038966	435.444962	499.730897	581.511931	582.964289	402.286710	396.396799
4	391.327919	393.168285	390.564174	396.953178	419.250078	418.901327	451.698177	559.163099	562.215445	578.033943	397.605108	391.085343
5	389.895681	392.064852	392.064852	392.064852	393.798716	460.776764	460.776764	460.776764	470.356565	786.297022	397.673573	390.219147
6	391.244069	393.747114	397.454717	397.454717	397.454717	445.826257	515.578800	515.578800	515.578800	591.556375	396.443622	391.070569
7	392.000659	389.991596	404.043634	404.043634	404.043634	408.921094	525.554985	589.739340	589.739340	589.739340	396.581083	391.465838
8	393.461697	387.347107	416.432104	416.432104	416.432104	416.432104	445.845026	613.250618	753.547883	753.547883	400.736596	392.592030
9	390.348163	385.111422	410.008838	424.873650	424.873650	424.873650	424.873650	487.013608	694.222272	786.297022	399.585498	389.230540
